Name,Institute,Country,Year
"Chang, Ning-Bo","Central China Normal University","","2015"
"Monnai, Akihiko","RIKEN BNL Research Center","","2015"
"Tinti, Leonardo","Jan Kochanowski University","","2015"
"He, Min","Nanjing University of Science & Technology","","2015"
"Blaizot, Jean-Paul","CEA","","2015"
"Yan, Li","CNRS","","2015"
"Wang, Ziyue","Tsinghua University","","2015"
"Praszalowicz, Michal","Jagiellonian University","","2015"
"Vogt, Ramona","LLNL and UC Davis","","2015"
"Wen, Liwen","","","2015"
"Gavin, Sean","Wayne State University, USA","","2015"
"Kosarzewski, Leszek","Warsaw University of Technology","","2015"
"Bryslawskyj, Jason","","","2015"
"Gorda, Tyler","University of Colorado, Boulder","","2015"
"Chien, Yang-Ting","Los Alamos National Laboratory","","2015"
"Xiao, Bowen","Central China Normal University","","2015"
"Cao, Shanshan","Lawrence Berkeley National Lab","","2015"
"Pang, LongGang","Lawrence Berkeley National Laboratory","","2015"
"Rafelski, Johann","University of Arizona (US)","","2015"
"Niemi, Harri","Johann Wolfgang Goethe-Universität","","2015"
"Plumberg, Christopher","The Ohio State University","","2015"
"Oliveira Da Silva, Antonio Carlos","Universidade de Sao Paulo (BR), Utrecht University (NL)","","2015"
"Aiola, Salvatore","Yale University (US)","","2015"
"Jahnke, Cristiane","Universidade de Sao Paulo (BR)","","2015"
"Sakai, Shingo","Istituto Nazionale Fisica Nucleare Frascati (IT)","","2015"
"ARGINTARU, Danut","Constanta Maritime University","","2015"
"Zhang, Zuman","Central China Normal University CCNU (CN), Univ. Blaise Pascal Clermont-Fe. II (FR)","","2015"
